timestamp,egg_id,x1,y1,x2,y2,confidence,class,diameter_px,diameter_mm,size_category,weight_g
2026-04-13T14:19:36.731837,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.731966,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.765486,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.765650,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.798706,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.798874,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.830632,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.830786,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.865289,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.865432,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.897614,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.897696,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.930683,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.930833,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.963137,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.963309,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.998933,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.999005,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.030357,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.030536,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.065896,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.066061,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.097833,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.097986,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.132494,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.132550,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.163153,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.163257,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.196339,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.196516,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.231851,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.232018,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.265356,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.265505,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.296901,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.297055,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.331471,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.331625,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.364954,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.365111,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.398629,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.398769,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.432324,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.432485,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.465328,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.465477,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.497773,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.497917,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.530490,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.530637,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.563882,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.564048,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.597677,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:37.597754,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:37.629224,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
